管轄	最終更新日	企業・事業場名称	所在地	公表日	違反法条	事案概要	その他参考事項	
東京労働局	平成29年９月30日	山縣建設（株）	埼玉県川口市	H29.8.31	労働安全衛生法第31条,労働安全衛生規則第654条	請負人の労働者に、墜落の危険のある箇所に手すり等を設けていない架設通路を使用させたもの	H29.8.21送検	
東京労働局	平成29年９月30日	鉄組	東京都足立区	H29.8.31	労働安全衛生法第20条,労働安全衛生規則第552条	架設通路について、墜落の危険のある箇所に、手すり等を設けていなかったもの	H29.8.21送検	
東京労働局	平成29年９月30日	リリカラ（株）　東京流通センター	東京都品川区	H29.8.31	労働安全衛生法第21条,労働安全衛生規則第519条	高さ約３ｍのフォークリフトの運転者席で、安全帯を使用させることなく労働者に作業を行わせたもの	H29.8.31送検	
東京労働局	平成29年９月30日	（株）ホーミング	東京都八王子市	H29.9.7	労働安全衛生法第21条,労働安全衛生規則第518条	高さ約６ｍの梁上で、安全帯を使用させることなく労働者に作業を行わせたもの	H29.9.7送検	
東京労働局	平成29年９月30日	（株）関東コーワ	東京都港区	H29.9.14	労働安全衛生法第21条,労働安全衛生規則第518条	高さ約15ｍの屋上端で、安全帯を使用させることなく労働者に作業を行わせたもの	H29.9.14送検	
東京労働局	平成29年９月30日	ライチ（株）	東京都八王子市	H29.9.22	労働安全衛生法第31条,労働安全衛生規則第655条	請負人の労働者に、架空電路との接触を防止するための措置を講じていない足場を使用させたもの	H29.9.22送検	
東京労働局	平成29年９月30日	（株）日新エンゼル	神奈川県相模原市	H29.9.22	労働安全衛生法第20条,労働安全衛生規則第349条	架空電路に近接した足場上で作業を行わせるに当たり、感電を防止するための措置を講じなかったもの	H29.9.22送検	
東京労働局	平成29年９月30日	（株）ＫＥＣ	東京都大田区	H29.9.27	労働安全衛生法第100条,労働安全衛生規則第97条	休業259日の労働災害が発生したが、遅滞なく労働者死傷病報告書を提出しなかったもの	H29.9.27送検	
神奈川労働局	平成29年９月30日	（株）東洋精機製作所	神奈川県綾瀬市	H28.12.1	労働安全衛生法第14条,労働安全衛生法施行令第６条,労働安全衛生規則第133条,	プレス機械作業主任者を選任していなかったもの	H28.12.1送検	
神奈川労働局	平成29年９月30日	三菱電機（株）　情報技術総合研究所	神奈川県鎌倉市	H29.1.11	労働基準法第32条	労働者１名に対して36協定の延長時間を超える時間外労働を行わせたもの	H29.1.11送検	"
H29.1.27不起訴（嫌疑不十分）"
神奈川労働局	平成29年９月30日	（株）シバデン	埼玉県川口市	H29.1.20	労働安全衛生法第20条,クレーン等安全規則第30条	スタッカークレーンの修繕工事において、接触防止措置を講じなかったもの	H29.1.20送検	
神奈川労働局	平成29年９月30日	東洋ライス（株）	和歌山県和歌山市	H29.1.25	労働安全衛生法第20条,労働安全衛生規則第151条の14	フォークリフトについて主たる用途以外の用途で使用をさせたもの	H29.1.25送検	
神奈川労働局	平成29年９月30日	（株）八巻工業	神奈川県川崎市高津区	H29.3.17	労働安全衛生法第100条,労働安全衛生規則第97条	約３か月間の休業災害を発生させたにもかかわらず、労働者死傷病報告を遅滞なく提出しなかったもの	H29.3.17送検	
神奈川労働局	平成29年９月30日	近藤乳業（株）	神奈川県藤沢市	H29.3.23	労働安全衛生法第20条,労働安全衛生法施行令第13条,労働安全衛生規則第27条	労働者に安全装置を具備していないエレベーターを使用させたもの	H29.3.23送検	
神奈川労働局	平成29年９月30日	ホームテクト（株）	東京都町田市	H29.3.24	労働安全衛生第21条,労働安全衛生規則第519条	建物解体工事において、墜落防止措置をとることなく労働者に作業を行わせたもの	H29.3.24送検	
神奈川労働局	平成29年９月30日	（株）野蕗造園	神奈川県相模原市中央区	H29.6.1	労働安全衛生法第20条,クレーン等安全規則第66条の２	作業場所の広さ、荷の重量等を考慮して移動式クレーンの転倒防止の方法をあらかじめ定めなていなかったもの	H29.6.1送検	
神奈川労働局	平成29年９月30日	（株）相模土建	神奈川県相模原市南区	H29.6.1	労働安全衛生法第20条,労働安全衛生規則第101条	ベルトコンベヤーに、危険防止措置として覆い等を設置することなく労働者に整備作業を行わせたもの	H29.6.1送検	
神奈川労働局	平成29年９月30日	（株）清製作所	神奈川県川崎市川崎区	H29.6.8	労働安全衛生法第61条,労働安全衛生法施行令第20条,クレーン等安全規則第221条	法令で定める資格を有しない労働者をつり上げ荷重１トンのクレーンの玉掛け業務に就かせたもの	H29.6.8送検	
神奈川労働局	平成29年９月30日	共和工業(株）	千葉県市川市	H29.9.20	労働安全衛生法第100条,労働安全衛生規則第97条	９日間の休業を要する労働災害が発生したのに、遅滞なく労働者死傷病報告書を提出しなかったもの	H29.9.20送検	
新潟労働局	平成29年９月30日	（株）エスアンドエー　新潟営業所	新潟県長岡市	H28.10.12	労働基準法第32条	労働者１名に、36協定の延長時間を超える違法な時間外労働を行わせたもの	H28.10.12送検	
新潟労働局	平成29年９月30日	三協テック（株）　信越新潟支店	新潟県新潟市南区	H28.11.1	労働安全衛生法第61条,労働安全衛生法施行令第20条	法定の運転資格を有しない労働者を、最大荷重が１トン以上となるフォークリフトの運転業務に就かせていたもの	H28.11.1送検	
新潟労働局	平成29年９月30日	（有）曾野木商事	新潟県新潟市中央区	H28.12.1	最低賃金法第４条	労働者21名に、１か月間、新潟県最低賃金以上の賃金を支払わなかったもの	H28.12.1送検	
新潟労働局	平成29年９月30日	貝瀬材木（株）	新潟県魚沼市	H29.1.20	労働安全衛生法第21条,労働安全衛生規則第519条	手すり等を設けることなく高さ２ｍ以上の屋根上で労働者に作業を行わせたもの	H29.1.20送検	
新潟労働局	平成29年９月30日	船屋運輸（株）	新潟県胎内市	H29.2.1	労働安全衛生法第20条,労働安全衛生規則第151条の74	保護帽を着用させることなく労働者に貨物自動車の荷台に荷積みする作業を行わせたもの	H29.2.1送検	
新潟労働局	平成29年９月30日	（株）ナカショク　ペレット工場	新潟県胎内市	H29.2.2	労働安全衛生法第20条,労働安全衛生規則第151条の78	ベルトコンベヤーに、非常停止措置を備え付けることなく労働者に作業を行わせたもの	H29.2.2送検	
新潟労働局	平成29年９月30日	ゆきぐに森林組合	新潟県上越市	H29.2.6	労働安全衛生法第21条,労働安全衛生規則第477条	伐倒の際に待避する場所をあらかじめ定めることなく労働者に伐木作業を行わせたもの	H29.2.6送検	
新潟労働局	平成29年９月30日	（有）富岳産業	新潟県南魚沼市	H29.4.4	最低賃金法第４条	労働者９名に、23か月間の定期賃金合計約944万円を支払わなかったもの	H29.4.4送検	
新潟労働局	平成29年９月30日	新進開発（株）	新潟県上越市	H29.4.5	労働基準法第24条	労働者５名に、１か月間の定期賃金合計約134万円を支払わなかったもの	H29.4.5送検	
新潟労働局	平成29年９月30日	（株）ナノテム	新潟県長岡市	H29.4.17	労働安全衛生法第66条,有機溶剤中毒予防規則第29条	有機溶剤を取り扱う業務に従事する労働者に、法定の健康診断を行っていなかったもの	H29.4.17送検	
新潟労働局	平成29年９月30日	（株）ひかり	新潟県新潟市中央区	H29.5.2	最低賃金法第４条	労働者１名に、約６か月間の定期賃金合計約71万円を支払わなかったもの	H29.5.2送検	
新潟労働局	平成29年９月30日	あやめ重機	新潟県新発田市	H29.5.9	最低賃金法第４条	労働者16名に、３か月間の定期賃金合計約720万円を支払わなかったもの	H29.5.9送検	
新潟労働局	平成29年９月30日	（有）和	新潟県上越市	H29.5.17	最低賃金法第４条	労働者３名に、約３か月間の定期賃金合計約113万円を支払わなかったもの	H29.5.17送検	
新潟労働局	平成29年９月30日	松前建築	新潟県新潟市西区	H29.6.14	労働安全衛生法第21条,労働安全衛生規則第519条	木造家屋の改築工事において、墜落防止措置を講ずることなく労働者に作業を行わせたもの	H29.6.14送検	
新潟労働局	平成29年９月30日	（株）佐藤建設	新潟県阿賀野市	H29.6.14	労働安全衛生法第100条,労働安全衛生規則第97条	事実と異なる災害発生状況を記載した虚偽の労働者死傷病報告書を提出したほか、４日以上の休業を要する労働災害が発生したのに労働者死傷病報告書を提出しなかったもの	H29.6.14送検	
新潟労働局	平成29年９月30日	（株）メイケン	新潟県十日町市	H29.7.13	労働基準法第32条	労働者５名に、36協定の延長時間を超える違法な時間外労働を行わせたもの	H29.7.13送検	
新潟労働局	平成29年９月30日	オルエ企画（株）	新潟県長岡市	H29.8.7	労働基準法第24条	労働者７名に、１か月間の定期賃金合計約75万円を支払わなかったもの	H29.8.7送検	
新潟労働局	平成29年９月30日	（株）板垣ボーリング	新潟県村上市	H29.8.18	労働安全衛生法第21条,労働安全衛生規則第534条	法面対策工事において、落下のおそれのある土石を取り除くことなく労働者に作業を行わせたもの	H29.8.18送検	
新潟労働局	平成29年９月30日	（株）お菓子の館	新潟県新潟市東区	H29.9.11	最低賃金法第４条	労働者３名に、約６か月間の定期賃金合計約143万円を支払わなかったもの	H29.9.11送検	
新潟労働局	平成29年９月30日	（特非）アニマルフレンズジャパン	新潟県新潟市西蒲区	H29.9.15	最低賃金法第４条	労働者９名に、約１年７か月間の定期賃金合計約1 483万円を支払わなかったもの	H29.9.15送検	
新潟労働局	平成29年９月30日	（株）ミトク 長岡営業所	新潟県長岡市	H29.9.15	労働基準法第32条	労働者２名に、36協定の延長時間を超える違法な時間外労働を行わせたもの	H29.9.15送検	
富山労働局	平成29年９月30日	パナソニック(株)　オートモーティブ＆インダストリアルシステムズ社デバイスソリューション事業部電子制御ソリューションビジネスユニット富山・松江工場	富山県砺波市	H29.3.15	労働基準法第32条	労働者３名に、36協定の延長時間を超える違法な時間外労働を行わせたもの	H29.3.15送検	
富山労働局	平成29年９月30日	住吉工業（株）	富山県富山市	H29.6.6	労働安全衛生法第61条,労働安全衛生法施行令第20条,クレーン等安全規則第22条	床上操作式クレーンの運転の業務に無資格の労働者を就かせていたもの	H29.6.6送検	
富山労働局	平成29年９月30日	（株）ユニゾーン	富山県富山市	H29.6.6	労働安全衛生法第20条,労働安全衛生規則第150条の４	労働者が産業用ロボットに接触するおそれがあるにもかかわらず、危険を防止するための措置を講じなかったもの	H29.6.6送検	
富山労働局	平成29年９月30日	（有）大西塗装工業	富山県南砺市	H29.8.24	労働安全衛生法第21条,労働安全衛生規則第519条	高さ約４ｍの作業床の端に手すり等を設けることなく、労働者に作業を行わせたもの	H29.8.24送検	
富山労働局	平成29年９月30日	（有）平和運輸	富山県射水市	H29.9.8	労働安全衛生法第59条,労働安全衛生規則第36条	車両系建設機械（ローラー）の運転の業務に労働者を従事させるに際し、特別教育を行っていなかったもの	H29.9.8送検	
石川労働局	平成29年７月31日	浜野産業（株）	石川県珠洲市	H29.6.19	労働安全衛生法第21条,労働安全衛生規則第519条	高さ2.85ｍの屋根の端に手すり等を設けることなく労働者に作業を行わせたもの	H29.6.19送検	
石川労働局	平成29年７月31日	川機械産業（株）	石川県金沢市	H29.7.20	労働安全衛生法第20条,労働安全衛生規則第151条の６	不整地運搬車の転落による危険を防止するための措置を講じていなかったもの	H29.7.20送検	
福井労働局	平成29年５月15日	（有）天寿商事　福井営業所	福井県福井市	H28.11.16	労働安全衛生法第21条,労働安全衛生規則第519条	高さ約4.4ｍの開口部付近において、開口部に囲い等を設けることなく労働者に作業を行わせたもの	H28.11.16送検	
福井労働局	平成29年５月15日	（株）ラコーム	福井県勝山市	H28.11.29	労働基準法第32条	技能実習生である労働者６名に、36協定の延長時間を超えて違法な時間外労働を行わせたもの	H28.11.29送検	
福井労働局	平成29年５月15日	（株）リブン	福井県勝山市	H28.11.29	労働基準法第32条	技能実習生である労働者６名に、36協定の延長時間を超えて違法な時間外労働を行わせたもの	H28.11.29送検	
福井労働局	平成29年５月15日	（株）リブン・ニュー	福井県勝山市	H28.11.29	労働基準法第32条	技能実習生である労働者６名に、36協定の延長時間を超えて違法な時間外労働を行わせたもの	H28.11.29送検	
福井労働局	平成29年５月15日	（有）サンスラックス	福井県大野市	H28.11.29	労働基準法第32条	技能実習生である労働者８名に、36協定の延長時間を超えて違法な時間外労働を行わせたもの	H28.11.29送検	
福井労働局	平成29年５月15日	（株）シアス	福井県勝山市	H28.11.29	労働基準法第32条	技能実習生である労働者４名に、36協定の延長時間を超えて違法な時間外労働を行わせたもの	H28.11.29送検	
福井労働局	平成29年５月15日	（有）オカピィ	福井県勝山市	H28.11.29	労働基準法第32条	技能実習生である労働者２名に、36協定の延長時間を超えて違法な時間外労働を行わせたもの	H28.11.29送検	
山梨労働局	平成29年９月30日	（株）順行インターナショナル	山梨県南アルプス市	H29.3.30	労働安全衛生法第21条,労働安全衛生規則第519条	高さ約３ｍの解体中の建屋の２階部分で、安全帯等を使用させずに労働者に作業を行わせたもの	H29.3.30送検	
山梨労働局	平成29年９月30日	（有）田中洋装	山梨県南アルプス市	H29.5.10	労働基準法第120条	臨検監督を行った労働基準監督官の尋問に対して、虚偽の陳述を行ったもの	H29.5.10送検	
山梨労働局	平成29年９月30日	（有）Ｔ・Ｋ・Ｍ	山梨県南アルプス市	H29.5.10	労働基準法第120条	臨検監督を行った労働基準監督官の尋問に対して、虚偽の陳述を行ったもの	H29.5.10送検	
山梨労働局	平成29年９月30日	（株）イナバ	山梨県南巨摩郡南部町	H29.6.21	労働安全衛生法第20条,クレーン等安全規則第66条の２	林道工事において移動式クレーン仕様のドラグショベルを使用する際に、作業の方法を定めていなかったもの	H29.6.21送検	
山梨労働局	平成29年９月30日	（株）ドミール	山梨県甲府市	H29.7.10	労働基準法第32条	労働者１名に、36協定の締結・届出を行うことなく、違法な時間外労働を行わせたもの	H29.7.5送検	
山梨労働局	平成29年９月30日	内田材木店	山梨県南アルプス市	H29.8.3	労働安全衛生法第20条,労働安全衛生規則第151条の３	製材工場において貨物自動車を用いて作業を行う際に、作業計画を定めていなかったもの	H29.8.3送検	
山梨労働局	平成29年９月30日	東海紙袋（株）	山梨県北杜市	H29.9.27	労働安全衛生法第20条,労働安全衛生規則第107条	印刷機の調整作業を行わせるに当たり、歯車に身体の一部が挟まれる危険があったにもかかわらず、運転を停止しなかったもの	H29.9.27送検	
長野労働局	平成29年９月30日	（医）ゆりかご	長野県駒ヶ根市	H28.11.2	労働基準法第104条の２	労働基準監督署長に対し、労働者の労働時間の記録について虚偽の報告をしたもの	H28.11.2送検	
長野労働局	平成29年９月30日	ペイントマン竹村塗装店	長野県大町市	H29.2.1	労働安全衛生法第21条,労働安全衛生規則第519条	高さ2.5ｍの作業床の端に手すり等を設けることなく、労働者に作業を行わせたもの	H29.2.1送検	
長野労働局	平成29年９月30日	（株）ファインプラス　伊那事業所	長野県伊那市	H29.3.22	労働安全衛生法第20条,労働安全衛生法施行令第13条,労働安全衛生規則第27条	厚生労働大臣の定める基準を満たしていないエレベーターを使用して、労働者に梱包資材を運搬させたもの	H29.3.22送検	
長野労働局	平成29年９月30日	（株）銀亭	長野県佐久市	H29.7.25	最低賃金法第４条	労働者１名に、１か月間の定期賃金合計約16万円を支払わなかったもの	H29.7.25送検	
長野労働局	平成29年９月30日	（有）エヌ・ケー・ビー	長野県諏訪市	H29.9.14	労働安全衛生法第20条,労働安全衛生規則第158条	ドラグ・ショベルと接触するおそれのある箇所に、労働者を立ち入らせていたもの	H29.9.14送検	
長野労働局	平成29年９月30日	花井木工（株）	長野県上伊那郡宮田村	H29.9.14	労働基準法第24条,最低賃金法第４条	労働者３名に、１か月間の定期賃金合計約15万円を支払わなかったもの	H29.9.14送検	
長野労働局	平成29年９月30日	（有）丸子観光バス	長野県上田市	H29.9.20	労働基準法第120条	労働基準監督官の臨検に際し、虚偽の記載をした運転日報を提出したもの	H29.9.20送検	
岐阜労働局	平成29年９月30日	ＫＳファッション	岐阜県郡上市	H28.11.11	最低賃金法第４条	労働者３名に、５か月間の定期賃金等合計約198万円を支払わなかったもの	H28.11.11送検	
岐阜労働局	平成29年９月30日	（株）フジ機械	岐阜県土岐市	H28.11.25	労働安全衛生法第20条,労働安全衛生規則第151条の14	フォークリフトを主たる用途以外の用途に使用させたもの	H28.11.25送検	
岐阜労働局	平成29年９月30日	（株）騠野塗装	愛知県名古屋市南区	H29.1.6	労働安全衛生法第21条,労働安全衛生規則第518条	高さ２ｍ以上の箇所で労働者に作業を行わせるに当たり、作業床を設けなかったもの	H29.1.6送検	
岐阜労働局	平成29年９月30日	矢口縫製	岐阜県山県市	H29.2.10	最低賃金法第４条	労働者３名に、７か月間の定期賃金等合計約350万円を支払わなかったもの	H29.2.10送検	
岐阜労働局	平成29年９月30日	シキボウ物流センター（株）	岐阜県海津市	H29.3.17	労働安全衛生法第21条,労働安全衛生規則第519条	高さ2.5ｍのラック上の端で、労働者に安全帯等を使用させず作業を行わせたもの	H29.3.17送検	
岐阜労働局	平成29年９月30日	（株）南濃建設	岐阜県海津市	H29.4.14	労働安全衛生法第100条,労働安全衛生規則第97条	休業４日以上を要する労働災害が発生したのに、遅滞なく労働者死傷病報告を提出しなかったもの	H29.4.14送検	
岐阜労働局	平成29年９月30日	（株）ネオプライムヒグチ	岐阜県可児市	H29.8.10	労働安全衛生法第20条,労働安全衛生規則第103条,労働者派遣法第45条	労働者にミンチ機の清掃をさせるに当たり、不意に機械が作動するおそれのないものとしていなかったもの	H29.8.10送検	
岐阜労働局	平成29年９月30日	（株）ジーエヌプラン	岐阜県岐阜市	H29.8.18	労働安全衛生法第21条,労働安全衛生規則第518条	高さ2.9ｍの場所で労働者に作業を行わせるに当たり、作業床を設けなかったもの	H29.8.18送検	
岐阜労働局	平成29年９月30日	徳田工業（株）　可児工場	岐阜県可児市	H29.9.14	労働基準法第32条	労働者11名に、36協定の延長時間を超える違法な時間外労働を行わせたもの	H29.9.14送検	
静岡労働局	平成29年７月31日	（有）静興建設	静岡県沼津市	H28.10.3	労働安全衛生法第20条,労働安全衛生規則第158条	ドラグ・ショベルとの接触するおそれのある箇所に、労働者を立ち入らせていたもの	H28.10.3送検	
静岡労働局	平成29年７月31日	（株）ＡＳカンテック	静岡県藤枝市	H29.1.11	最低賃金法第４条	労働者１名に、１か月間の定期賃金合計約20万円を支払わなかったもの	H29.1.11送検	
静岡労働局	平成29年７月31日	（有）竹善工業	静岡県御前崎市	H29.3.14	最低賃金法第４条	労働者３名に、１か月間の定期賃金合計約67万円を支払わなかったもの	H29.3.14送検	
静岡労働局	平成29年７月31日	山竜	静岡県静岡市清水区	H29.7.3	最低賃金法第４条	労働者５名に、１か月間の定期賃金合計約47万円を支払わなかったもの	H29.7.3送検	
静岡労働局	平成29年７月31日	平井工業（株）	静岡県静岡市葵区	H29.7.18	労働安全衛生法第30条,労働安全衛生規則第636条	関係請負人に対し、工事現場の組立中の足場について立入禁止等の作業間の連絡及び調整を行わなかったもの	H29.7.18送検	
静岡労働局	平成29年７月31日	大木産業工作所	静岡県伊東市	H29.7.19	労働安全衛生法第37条,クレーン等安全規則第138条	工場に設置する積載荷重1トン以上のエレベーターを製造するに当たり、労働局長の許可を受けていなかったもの	H29.7.19送検	
愛知労働局	平成29年９月30日	ＬＵＰＩＮＵＳ	愛知県名古屋市天白区	H28.10.3	労働基準法第24条	労働者１名に、２か月間の定期賃金合計約６万円を支払わなかったもの	H28.10.3送検	
愛知労働局	平成29年９月30日	（株）桝金	愛知県豊橋市	H28.10.3	最低賃金法第４条	労働者８名に、１か月間の定期賃金合計約100万円を支払わなかったもの	H28.10.3送検	
愛知労働局	平成29年９月30日	（有）シーフードハウス	愛知県名古屋市昭和区	H28.10.3	最低賃金法第４条	労働者４名に、３か月間の定期賃金合計約370万円を支払わなかったもの	H28.10.3送検	
愛知労働局	平成29年９月30日	（株）大崎工務店	愛知県稲沢市	H28.10.18	労働安全衛生法第61条,労働安全衛生法施行令第20条,労働者派遣法第45条	フォークリフトの運転資格を有しない労働者をフォークリフト運転業務に就かせたもの	H28.10.18送検	
愛知労働局	平成29年９月30日	（株）伸和　弥富物流センター	愛知県弥富市	H28.10.24	労働安全衛生法第100条,労働安全衛生規則第97条	約15日間の休業を要する労働災害が発生したのに、遅滞なく労働者死傷病報告を提出しなかったもの	H28.10.24送検	
愛知労働局	平成29年９月30日	サンビイズ	愛知県稲沢市	H28.10.25	労働安全衛生法第20条,労働安全衛生規則第101条	裁断機の送りロールに巻き込まれ防止のための防護措置を講じることなく労働者に作業を行わせたもの	H28.10.25送検	
愛知労働局	平成29年９月30日	（株）テクノマックス	愛知県田原市	H28.11.11	労働安全衛生法第100条,労働安全衛生規則第97条	４日以上の休業を要する労働災害が発生したのに、遅滞なく労働者死傷病報告を提出しなかったもの	H28.11.11送検	
愛知労働局	平成29年９月30日	共栄ゴム工業（株）	愛知県弥富市	H28.11.22	労働安全衛生法第61条,労働安全衛生法施行令第20条	法令で定める資格を有しない労働者をつり上げ荷重１トンのクレーンの玉掛け業務に就かせたもの	H28.11.22送検	
愛知労働局	平成29年９月30日	（株）たんぽぽスマイルワーク	愛知県名古屋市中村区	H28.11.22	最低賃金法第４条	労働者18名に、２か月間の定期賃金合計約140万円を支払わなかったもの	H28.11.22送検	
愛知労働局	平成29年９月30日	（株）ＤＡＢＯジャパン	大阪府大阪市中央区	H28.12.1	労働安全衛生法第21条,労働安全衛生規則第519条	高さ約５ｍの場所で労働者に配管部品の交換作業を行わせるにあたり、墜落防止措置を講じなかったもの	H28.12.1送検	
愛知労働局	平成29年９月30日	（株）トラスト・ワン	愛知県岡崎市	H28.12.1	労働安全衛生法第100条,労働安全衛生規則第97条	６日間の休業を要する労働災害が発生したのに、遅滞なく労働者死傷病報告を提出しなかったもの	H28.12.1送検	
愛知労働局	平成29年９月30日	（株）大津興業	愛知県岡崎市	H28.12.5	最低賃金法第４条	労働者１名に、２か月間の定期賃金合計約40万円を支払わなかったもの	H28.12.5送検	
愛知労働局	平成29年９月30日	（株）エイチエス	愛知県名古屋市北区	H28.12.15	最低賃金法第４条	労働者４名に、６か月間の定期賃金合計約300万円を支払わなかったもの	H28.12.15送検	
愛知労働局	平成29年９月30日	曽我建設（株）	愛知県名古屋市名東区	H28.12.16	労働安全衛生法第59条,労働安全衛生規則第36条,労働者派遣法第45条	特別教育を行っていない労働者を高さ約６ｍの箇所で足場の変更作業に従事させたもの	H28.12.16送検	
愛知労働局	平成29年９月30日	稲沢駅前センター商業協同組合	愛知県稲沢市	H29.1.20	最低賃金法第４条	労働者９名に、２か月間の定期賃金の一部（愛知県最低賃金との差額）合計約４万円を支払わなかったもの	H29.1.20送検	
愛知労働局	平成29年９月30日	（有）フレッシュフーズ稲沢	愛知県稲沢市	H29.1.20	最低賃金法第４条	労働者１名に、２か月間の定期賃金の一部（愛知県最低賃金との差額）合計約１万円を支払わなかったもの	H29.1.20送検	
愛知労働局	平成29年９月30日	（株）八雲工業	広島県尾道市	H29.1.20	労働安全衛生法第20条,労働安全衛生規則第568条	その日の作業開始前に、つり足場の墜落防止設備の取り外し及び脱落の有無について点検を行わなかったもの	H29.1.20送検	
愛知労働局	平成29年９月30日	日東工営（株）　名古屋支店	愛知県名古屋市中村区	H29.2.10	労働安全衛生法第22条,石綿障害予防規則第３条	建築物の解体等の作業を行うにあたり、あらかじめ当該建築物について石綿の使用の有無を調査しなかったもの	H29.2.10送検	
愛知労働局	平成29年９月30日	（株）カクイ建設	愛知県名古屋市港区	H29.2.14	労働安全衛生法第20条,労働安全衛生規則第160条	車両系建設機械の作業装置を地上に下ろさずに、運転位置から離れたもの	H29.2.14送検	
愛知労働局	平成29年９月30日	（有）参州寿組　豊田営業所	愛知県豊田市	H29.2.17	労働安全衛生法第20条,クレーン等安全規則第66条の２	作業場所の広さ、地質の状態等を考慮して移動式クレーンの転倒防止の方法をあらかじめ定めなていなかったもの	H29.2.17送検	
愛知労働局	平成29年９月30日	（株）小西生コン　春日井工場	愛知県春日井市	H29.2.20	労働安全衛生法第20条,労働安全衛生規則第107条	コンクリートミキサーの清掃作業にあたり、機械の運転禁止措置を行っていなかったもの	H29.2.20送検	
愛知労働局	平成29年９月30日	（株）Ｓ＆Ａ	愛知県名古屋市熱田区	H29.3.1	最低賃金法第４条	労働者７名に、１か月間の定期賃金合計約100万円を支払わなかったもの	H29.3.1送検	
愛知労働局	平成29年９月30日	ＴＡＩＨＥＩ（株）	愛知県名古屋市中区	H29.3.10	最低賃金法第４条	労働者４名に、３か月間の定期賃金合計約85万円を支払わなかったもの	H29.3.10送検	
愛知労働局	平成29年９月30日	内外物産（株）　刈谷支店	愛知県刈谷市	H29.3.13	労働基準法第32条	労働者１名に対し、時間外・休日労働に関する協定の届出なく時間外労働を行わせたもの	H29.3.13送検	
愛知労働局	平成29年９月30日	（有）石川プレス工業所	愛知県津島市	H29.3.23	労働安全衛生法第45条,労働安全衛生法施行令第15条,労働安全衛生規則第134条の３	プレス機械について、１年に１回、定期に行うべき法定の自主検査を行わず使用していたもの	H29.3.23送検	
愛知労働局	平成29年９月30日	昌和工業（株）	愛知県春日井市	H29.4.4	労働安全衛生法第100条,労働安全衛生規則第97条	４日以上の休業を要する労働災害について、虚偽の記載をした労働者死傷病報告を提出したもの	H29.4.4送検	
愛知労働局	平成29年９月30日	（株）電通　中部支社	愛知県名古屋市中村区	H29.4.25	労働基準法第32条	労働者２名に、36協定の延長時間を超える違法な時間外労働を行わせたもの	H29.4.25送検	H29.7.5不起訴
愛知労働局	平成29年９月30日	メドライン・ロジスティクス・ジャパン合同会社　愛西物流センター	愛知県愛西市	H29.5.25	労働基準法第32条	労働者４名に、時間外・休日労働に関する協定の届出なく時間外労働を行わせたもの	H29.5.25送検	
愛知労働局	平成29年９月30日	阪野建設（株）	愛知県名古屋市緑区	H29.6.6	労働安全衛生法第20条,労働安全衛生規則第158条	運転中のドラグ・ショベルに接触する危険があったのに、誘導者を配置せず、労働者を立ち入らせたもの	H29.6.6送検	
愛知労働局	平成29年９月30日	新日鐵住金（株）　名古屋製鐵所	愛知県東海市	H29.6.6	労働安全衛生法第20条,労働安全衛生規則第266条	自然発火の危険がある乾燥した石炭を積み重ねていたのに、危険な温度に上昇しない措置を講じていなかったもの	H29.6.6送検	"
H29.6.22不起訴(起訴猶予）"
愛知労働局	平成29年９月30日	（株）メタルテック	愛知県西尾市	H29.7.11	最低賃金法第４条	労働者１名に、８か月間の定期賃金合計約140万円を支払わなかったもの	H29.7.11送検	
愛知労働局	平成29年９月30日	中日本建設（株）	愛知県名古屋市名東区	H29.8.4	労働基準法第32条	労働者３名に、時間外・休日労働に関する協定の届出なく時間外労働を行わせたもの	H29.8.4送検	
愛知労働局	平成29年９月30日	（株）プレコット	愛知県名古屋市中区	H29.8.18	最低賃金法第４条	労働者４名に、３か月間の定期賃金合計約120万円を支払わなかったもの	H29.8.18送検	
愛知労働局	平成29年９月30日	（株）ウオークス	愛知県名古屋市中区	H29.8.18	最低賃金法第４条	労働者５名に、３か月間の定期賃金合計約190万円を支払わなかったもの	H29.8.18送検	
愛知労働局	平成29年９月30日	（株）誠強工業	愛知県名古屋市中川区	H29.8.21	労働安全衛生法第20条,労働安全衛規則第158条	運転中のドラグ・ショベルに接触する危険があったのに、接触を防止するための措置を講じていなかったもの	H29.8.21送検	
愛知労働局	平成29年９月30日	（有）ＰＲＯＰ	愛知県春日井市	H29.8.22	労働安全衛生法第20条,労働安全衛規則第151条の14	フォークリフトを主たる用途以外である作業床として使用していたもの	H29.8.22送検	
愛知労働局	平成29年９月30日	（株）サクライ	三重県鈴鹿市	H29.8.24	労働安全衛生法第21条,労働安全衛生規則第518条,労働者派遣法第45条	高さ約7.5ｍの場所で労働者に作業を行わせるにあたり、墜落防止措置を講じていなかったもの	H29.8.24送検	
愛知労働局	平成29年９月30日	（株）フードマニア	愛知県名古屋市天白区	H29.8.25	最低賃金法第４条	労働者10名に、２か月間の定期賃金合計約80万円を支払わなかったもの	H29.8.25送検	
